LOG_NU,UFE_SG,LOC_NU,BAI_NU_INI,BAI_NU_FIM,LOG_NO,LOG_COMPLEMENTO,CEP,TLO_TX,LOG_STA_TLO,LOG_NO_ABREV
348469,RJ,7043,12215,NULL,Emanuel,"(Nova Cidade)",23064340,Rua,S,"R Emanuel"
351577,RJ,7043,12215,NULL,Jasmin,"(Nova Cidade)",23064350,Rua,S,"R Jasmin"
345090,RJ,7043,12215,NULL,"Bons Amigos",NULL,23064360,Rua,S,"R Bons Amigos"
349243,RJ,7043,12215,NULL,Filomena,"(Nova Cidade)",23064370,Rua,S,"R Filomena"
348702,RJ,7043,12215,NULL,"Ernane João da Silva","(Nova Cidade)",23064380,Rua,S,"R Ernane J da Silva"
346613,RJ,7043,12215,NULL,"Clara Nunes",NULL,23064390,Rua,S,"R Clara Nunes"
361707,RJ,7043,12215,NULL,Patativa,"(Nova Cidade)",23064400,Rua,S,"R Patativa"
348838,RJ,7043,12215,NULL,"Ester Pereira da Costa","(Nova Cidade)",23064410,Rua,S,"R Ester P da Costa"
348753,RJ,7043,12215,NULL,Esmeralda,"(Nova Cidade)",23064420,Rua,S,"R Esmeralda"
346962,RJ,7043,12215,NULL,Coração,NULL,23064430,Rua,S,"R Coração"
349692,RJ,7043,12215,NULL,Gaivota,"(Nova Cidade)",23064435,Rua,S,"R Gaivota"
343376,RJ,7043,12215,NULL,Ametista,NULL,23064440,Rua,S,"R Ametista"
351971,RJ,7043,12215,NULL,Jóias,"(Nova Cidade)",23064450,Rua,S,"R Jóias"
347556,RJ,7043,12215,NULL,Desenhista,NULL,23064460,Rua,S,"R Desenhista"
345938,RJ,7043,12215,NULL,Cardeal,NULL,23064470,Rua,S,"R Cardeal"
362512,RJ,7043,12215,NULL,Juriti,"(Nova Cidade)",23064480,Rua,S,"R Juriti"
855373,RJ,7043,12215,NULL,Barreira,"(Nova Cidade)",23064482,Rua,S,"R Barreira"
855374,RJ,7043,12215,NULL,"da Pedreira","(Nova Cidade)",23064484,Rua,S,"R da Pedreira"
349784,RJ,7043,12215,NULL,Gavião,"(Nova Cidade)",23064490,Rua,S,"R Gavião"
351728,RJ,7043,12215,NULL,"João de Barro","(Nova Cidade)",23064500,Rua,S,"R João de Barro"
360523,RJ,7043,12215,NULL,Uirapuru,"(Nova Cidade)",23064510,Rua,S,"R Uirapuru"
